               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10905,            0.098498,            0.052912,             0.27265,            0.047882,            0.029223,           0.0087508,            0.088491,            0.085148,            0.042998,              0.0705,           0.0032778,           0.0032778
                   1,            0.087462,             0.11353,            0.039045,             0.55874,             0.40412,             0.26236,            0.086393,            0.078371,            0.061958,            0.021486,            0.040173,           0.0062839,           0.0062839
                   2,            0.078767,            0.094469,            0.024177,             0.26874,             0.66732,             0.33829,             0.11442,            0.077841,            0.052782,            0.011159,           0.0095155,           0.0089599,           0.0089599
                   3,            0.071024,            0.084668,            0.016636,             0.44665,             0.76672,             0.62579,             0.23538,            0.056392,            0.048091,           0.0067471,            0.008515,            0.008515,            0.008515
                   4,            0.061392,            0.079875,            0.011271,              0.6591,             0.79682,             0.74074,              0.3107,            0.050998,            0.046667,           0.0049469,            0.008515,            0.008515,            0.008515
                   5,            0.056127,            0.074167,           0.0083713,             0.68727,             0.84049,             0.79569,             0.37842,            0.047594,             0.04591,           0.0044727,             0.00802,             0.00802,             0.00802
                   6,            0.051206,            0.074085,           0.0073073,             0.74401,             0.88328,             0.81423,             0.40667,            0.041976,            0.044122,           0.0039308,            0.007525,            0.007525,            0.007525
                   7,            0.047151,            0.069935,             0.00617,             0.72299,             0.82043,             0.79106,             0.40064,            0.045833,            0.043894,           0.0036197,             0.00703,             0.00703,             0.00703
                   8,            0.045081,            0.070733,           0.0053567,             0.86341,             0.87945,             0.85649,             0.47293,            0.037707,            0.042654,           0.0030374,            0.006535,            0.006535,            0.006535
                   9,            0.043204,            0.069835,           0.0050264,             0.88003,             0.90008,             0.87223,             0.50701,            0.035053,            0.042551,           0.0030598,             0.00604,             0.00604,             0.00604
                  10,            0.041279,            0.067339,           0.0045414,             0.87693,             0.90826,             0.88067,             0.51679,            0.035929,            0.042072,           0.0028008,            0.005545,            0.005545,            0.005545
                  11,             0.03995,            0.066811,           0.0042983,             0.88118,             0.89974,             0.86757,             0.49828,            0.035046,            0.041518,           0.0026876,             0.00505,             0.00505,             0.00505
                  12,            0.038075,            0.066389,           0.0040642,             0.89706,             0.90697,             0.88484,             0.52648,            0.032404,            0.040508,           0.0025843,            0.004555,            0.004555,            0.004555
                  13,            0.036975,            0.068455,           0.0039036,             0.88122,             0.90352,             0.88745,             0.53949,            0.031665,            0.040447,           0.0023813,             0.00406,             0.00406,             0.00406
                  14,            0.036172,            0.066341,           0.0035932,             0.90132,             0.90978,             0.88403,             0.55493,            0.030681,            0.040402,           0.0021799,            0.003565,            0.003565,            0.003565
                  15,             0.03458,            0.064859,            0.003347,             0.90135,             0.90324,             0.88693,             0.55202,            0.030884,            0.040067,           0.0020631,             0.00307,             0.00307,             0.00307
                  16,            0.033632,            0.063203,           0.0033108,             0.91469,             0.91874,              0.9036,             0.57976,             0.02904,            0.039613,           0.0019701,            0.002575,            0.002575,            0.002575
                  17,            0.032719,            0.062431,           0.0032826,             0.90638,             0.90685,             0.88795,             0.56978,            0.029324,            0.039385,           0.0018762,             0.00208,             0.00208,             0.00208
                  18,            0.032153,             0.06164,           0.0031883,             0.92023,              0.9207,             0.90597,             0.58659,            0.028383,            0.039312,            0.001788,            0.001585,            0.001585,            0.001585
                  19,            0.031311,            0.062783,           0.0029363,             0.90986,             0.92468,             0.90453,             0.58971,            0.027745,            0.039032,           0.0017103,             0.00109,             0.00109,             0.00109
